TURNO;NOME_AGENTE;COR_PECA;PLY_TIME;MAX DEPTH; MAX BRANCH; BFACTOR; TOTAL_NODES;RESULTADO;
14;MINIMAX_T;1;2.256;5;24;15.0;1147362; ;
15;MINIMAX_T;2;1.817;5;23;13.0;921265; ;
16;MINIMAX_T;1;1.529;5;26;16.0;783237; ;
17;MINIMAX_T;2;1.36;5;24;14.0;705628; ;
18;MINIMAX_T;1;1.548;5;22;15.0;823676; ;
19;MINIMAX_T;2;1.929;5;25;15.0;957449; ;
20;MINIMAX_T;1;2.091;5;23;15.0;1059504; ;
21;MINIMAX_T;2;1.728;5;25;15.0;892578;VITORIA;
1;MINIMAX_T;1;0.45;5;20;13.0;178496; ;
2;MINIMAX_T;2;0.474;5;20;12.0;251843; ;
3;MINIMAX_T;1;0.872;5;24;13.0;463102; ;
4;MINIMAX_T;2;1.131;5;23;14.0;601368; ;
5;MINIMAX_T;1;1.391;5;23;13.0;638760; ;
6;MINIMAX_T;2;2.444;5;24;15.0;1290483; ;
7;MINIMAX_T;1;2.198;5;25;15.0;1232443; ;
8;MINIMAX_T;2;2.082;5;25;13.0;1031896; ;
9;MINIMAX_T;1;1.43;5;27;14.0;714014; ;
10;MINIMAX_T;2;0.961;5;23;13.0;456746; ;
11;MINIMAX_T;1;1.104;5;25;13.0;552491; ;
12;MINIMAX_T;2;1.856;5;24;15.0;964393; ;
13;MINIMAX_T;1;1.655;5;26;14.0;861330; ;
14;MINIMAX_T;2;1.362;5;23;15.0;668477; ;
15;MINIMAX_T;1;1.028;5;25;13.0;513549; ;
16;MINIMAX_T;2;0.879;5;22;14.0;450783; ;
17;MINIMAX_T;1;0.812;5;24;13.0;401072; ;
18;MINIMAX_T;2;1.06;5;23;14.0;442274; ;
19;MINIMAX_T;1;0.496;5;23;11.0;227953; ;
20;MINIMAX_T;2;0.774;5;25;15.0;389548; ;
21;MINIMAX_T;1;0.582;5;20;12.0;280340; ;
22;MINIMAX_T;2;0.484;5;23;14.0;217960; ;
23;MINIMAX_T;1;0.504;5;21;12.0;249695; ;
24;MINIMAX_T;2;0.608;5;23;14.0;327537; ;
25;MINIMAX_T;1;0.786;5;23;12.0;351236; ;
26;MINIMAX_T;2;1.052;5;26;15.0;590119;VITORIA;
1;MINIMAX_T;2;0.35;5;20;13.0;178496; ;
2;MINIMAX_T;1;0.4;5;20;12.0;251843; ;
3;MINIMAX_T;2;0.88;5;24;13.0;463102; ;
4;MINIMAX_T;1;1.633;5;24;13.0;825619; ;
5;MINIMAX_T;2;2.633;5;23;14.0;1179382; ;
6;MINIMAX_T;1;2.182;5;25;14.0;1020146; ;
7;MINIMAX_T;2;2.141;5;24;15.0;1005561; ;
8;MINIMAX_T;1;1.548;5;24;13.0;717224; ;
9;MINIMAX_T;2;1.53;5;23;15.0;671023; ;
10;MINIMAX_T;1;1.403;5;24;13.0;562549; ;
11;MINIMAX_T;2;1.78;5;24;14.0;832741; ;
12;MINIMAX_T;1;1.44;5;24;14.0;663193; ;
13;MINIMAX_T;2;0.925;5;23;14.0;397061; ;
14;MINIMAX_T;1;1.023;5;24;13.0;514812; ;
15;MINIMAX_T;2;1.675;5;24;14.0;832741; ;
16;MINIMAX_T;1;1.917;5;24;14.0;663193; ;
17;MINIMAX_T;2;0.958;5;23;14.0;397061; ;
18;MINIMAX_T;1;1.106;5;24;13.0;514812; ;
19;MINIMAX_T;2;1.691;5;24;14.0;832741; ;
20;MINIMAX_T;1;1.551;5;24;14.0;663193; ;
21;MINIMAX_T;2;0.943;5;23;14.0;397061; ;
22;MINIMAX_T;1;1.104;5;24;13.0;514812; ;
23;MINIMAX_T;2;1.895;5;24;14.0;832741; ;
24;MINIMAX_T;1;1.884;5;24;14.0;663193; ;
25;MINIMAX_T;2;0.965;5;23;14.0;397061; ;
26;MINIMAX_T;1;1.139;5;24;13.0;514812; ;
27;MINIMAX_T;2;1.763;5;23;14.0;784868; ;
28;MINIMAX_T;1;1.692;5;26;14.0;766590; ;
29;MINIMAX_T;2;1.616;5;24;14.0;676158; ;
30;MINIMAX_T;1;2.008;5;23;14.0;811222;EMPATE;
1;MINIMAX_T;1;0.592;5;20;13.0;178496; ;
2;MINIMAX_T;2;0.569;5;20;12.0;251843; ;
3;MINIMAX_T;1;1.006;5;24;13.0;463102; ;
4;MINIMAX_T;2;1.334;5;23;14.0;601368; ;
5;MINIMAX_T;1;1.394;5;23;13.0;638760; ;
6;MINIMAX_T;2;2.701;5;24;15.0;1290483; ;
7;MINIMAX_T;1;3.316;5;25;15.0;1232443; ;
8;MINIMAX_T;2;2.175;5;26;14.0;949600; ;
9;MINIMAX_T;1;2.432;5;24;15.0;1161002; ;
10;MINIMAX_T;2;3.14;5;26;16.0;1302514; ;
11;MINIMAX_T;1;2.269;5;26;13.0;952043; ;
12;MINIMAX_T;2;2.247;5;25;17.0;1055342; ;
13;MINIMAX_T;1;1.568;5;24;14.0;617408; ;
14;MINIMAX_T;2;1.915;5;25;15.0;764175; ;
15;MINIMAX_T;1;1.048;5;25;13.0;429441; ;
16;MINIMAX_T;2;1.392;5;25;14.0;647695; ;
17;MINIMAX_T;1;0.908;5;23;14.0;359923; ;
18;MINIMAX_T;2;0.772;5;24;13.0;321339; ;
19;MINIMAX_T;1;0.66;5;24;13.0;292672; ;
20;MINIMAX_T;2;1.143;5;25;15.0;539180; ;
21;MINIMAX_T;1;0.822;5;21;13.0;331092; ;
22;MINIMAX_T;2;1.183;5;25;14.0;544864; ;
23;MINIMAX_T;1;1.548;5;25;13.0;674967; ;
24;MINIMAX_T;2;2.538;5;25;16.0;816684; ;
25;MINIMAX_T;1;1.047;5;23;13.0;458799; ;
26;MINIMAX_T;2;1.713;5;26;15.0;788784; ;
27;MINIMAX_T;1;1.618;5;23;13.0;669853; ;
