PARTIDA;TURNO;NOME_AGENTE;COR_PECA;PLY_TIME;MAX DEPTH; BFACTOR; TOTAL_NODES;MAX BRANCH;MAX BOARD;RESULTADO;
11;25;MCTS;2;0.015;1;1.0;2;1;21221	12121	21210	12211	11222	;EMPATE;
12;1;MINIMAX_T;1;1.275;5;20.0;821955;24;01000	00000	00000	00000	00000	; ;
12;2;MCTS;2;1.29;11;14.0;67725;23;00000	00100	00000	02000	00000	; ;
12;3;MINIMAX_T;1;3.071;5;19.0;1979918;22;00000	00100	10200	00000	00000	; ;
12;4;MCTS;2;3.079;10;14.0;245841;21;00200	00100	01200	00000	00000	; ;
12;5;MINIMAX_T;1;2.359;5;17.0;1281801;20;00000	02100	01201	00000	00000	; ;
12;6;MCTS;2;2.367;10;12.0;234217;19;00200	02100	01200	00010	00000	; ;
12;7;MINIMAX_T;1;2.551;5;15.0;1479108;19;00000	02120	01200	00010	00000	; ;
12;8;MCTS;2;2.552;8;11.0;221792;18;00000	02120	01200	00010	10000	; ;
12;9;MINIMAX_T;1;1.191;5;13.0;688996;17;00000	02120	01200	02010	10000	; ;
12;10;MCTS;2;1.193;12;5.0;117796;15;00201	02120	01200	02010	10000	; ;
12;11;MINIMAX_T;1;0.268;5;11.0;197115;14;20101	02120	01200	02010	10000	; ;
12;12;MCTS;2;0.269;10;5.0;27648;14;21001	02120	01200	02010	10000	; ;
12;13;MINIMAX_T;1;0.239;5;9.0;170901;13;21001	02120	21200	02010	10000	; ;
12;14;MCTS;2;0.25;8;5.0;34682;12;21011	02120	21200	02010	10000	; ;
12;15;MINIMAX_T;1;0.063;5;7.0;53582;11;21011	22120	21200	02010	10000	; ;
12;16;MCTS;2;0.127;4;7.0;5537;10;21011	22120	21200	12010	10000	; ;
12;17;MINIMAX_T;1;0.03;5;5.0;18730;9;21011	22120	21220	12010	10000	; ;
12;18;MCTS;2;0.031;5;4.0;3264;8;21111	22120	21220	12010	10000	; ;
12;19;MINIMAX_T;1;0.007;5;3.0;3620;7;21111	22122	21220	12010	10000	; ;
12;20;MCTS;2;0.008;6;2.0;1313;6;21111	22122	21220	12011	10000	; ;
12;21;MINIMAX_T;1;0.002;5;1.0;326;5;21111	22122	21220	12011	10002	; ;
12;22;MCTS;2;0.003;4;1.0;65;4;21111	22122	21220	12011	10102	; ;
12;23;MINIMAX_T;1;0.0;5;1.0;16;3;21111	22122	21222	12011	10102	; ;
12;24;MCTS;2;0.001;2;1.0;5;2;21111	22122	21222	12011	10112	; ;
12;25;MINIMAX_T;1;0.0;5;1.0;2;1;21111	22122	21222	12011	12112	;EMPATE;
13;1;MCTS;2;0.001;1;3.0;6;24;02000	00000	00000	00000	00000	; ;
13;2;MINIMAX_T;1;4.969;5;19.0;2629442;23;00200	00000	00000	00000	01000	; ;
13;3;MCTS;2;5.094;10;14.0;271948;22;00200	00000	20000	00100	00000	; ;
13;4;MINIMAX_T;1;7.418;5;18.0;3312401;22;20200	00000	00000	00100	00000	; ;
13;5;MCTS;2;7.433;8;14.0;470837;21;20200	00000	00010	00100	00000	; ;
13;6;MINIMAX_T;1;4.981;5;16.0;1791461;20;20220	00000	00010	00100	00000	; ;
13;7;MCTS;2;4.988;10;10.0;463777;19;21220	00000	00010	00100	00000	; ;
13;8;MINIMAX_T;1;2.161;5;14.0;1100029;18;21220	00000	00210	00100	00000	; ;
13;9;MCTS;2;2.172;8;10.0;208545;17;21220	00000	00210	01100	00000	; ;
13;10;MINIMAX_T;1;0.81;5;12.0;498245;16;21220	00000	00210	01120	00000	; ;
13;11;MCTS;2;0.813;13;4.0;85362;15;21220	01000	00210	01120	00000	; ;
13;12;MINIMAX_T;1;0.41;5;10.0;266645;14;21220	01000	02210	01120	00000	; ;
13;13;MCTS;2;0.425;10;4.0;58142;13;21220	01100	02210	01120	00000	; ;
13;14;MINIMAX_T;1;0.216;5;8.0;106945;12;21220	21100	02210	01120	00000	; ;
13;15;MCTS;2;0.22;8;4.0;36461;11;21220	21100	02210	01120	01000	; ;
13;16;MINIMAX_T;1;0.031;5;6.0;29477;10;21220	21100	22210	01120	01000	; ;
13;17;MCTS;2;0.078;4;6.0;1504;9;21220	21100	22210	11120	01000	; ;
13;18;MINIMAX_T;1;0.0;5;4.0;8801;8;21220	21100	22212	11120	01000	; ;
13;19;MCTS;2;0.015;4;4.0;929;7;21220	21101	22212	11120	01000	; ;
13;20;MINIMAX_T;1;0.0;5;2.0;1237;6;21220	21101	22212	11122	01000	; ;
13;21;MCTS;2;0.016;5;1.0;326;5;21220	21101	22212	11122	01100	; ;
13;22;MINIMAX_T;1;0.0;5;1.0;65;4;21222	21101	22212	11122	01100	; ;
13;23;MCTS;2;0.016;3;1.0;16;3;21222	21101	22212	11122	01101	; ;
13;24;MINIMAX_T;1;0.0;5;1.0;5;2;21222	21101	22212	11122	21101	; ;
13;25;MCTS;2;0.016;1;1.0;2;1;21222	21111	22212	11122	21101	;EMPATE;
14;1;MINIMAX_T;1;1.194;5;20.0;821955;24;01000	00000	00000	00000	00000	; ;
14;2;MCTS;2;1.203;11;15.0;68613;23;20000	00100	00000	00000	00000	; ;
14;3;MINIMAX_T;1;3.145;5;19.0;1979918;22;01000	00100	00200	00000	00000	; ;
14;4;MCTS;2;3.154;10;13.0;280114;21;00000	00100	01220	00000	00000	; ;
14;5;MINIMAX_T;1;2.027;5;17.0;1281801;20;00000	00101	01200	00020	00000	; ;
14;6;MCTS;2;2.031;9;12.0;157496;19;00002	01100	01200	00020	00000	; ;
14;7;MINIMAX_T;1;2.424;5;15.0;1462304;19;00000	01120	01200	00020	00000	; ;
14;8;MCTS;2;2.427;9;10.0;217468;18;00000	01120	01200	01020	00000	; ;
14;9;MINIMAX_T;1;1.303;5;13.0;796760;17;02000	01120	01200	01020	00000	; ;
14;10;MCTS;2;1.315;12;6.0;85975;16;02010	01120	01200	01020	00000	; ;
14;11;MINIMAX_T;1;0.546;5;11.0;396060;15;02010	01120	01200	21020	00000	; ;
14;12;MCTS;2;0.549;10;5.0;79624;14;02010	01120	01200	21020	01000	; ;
14;13;MINIMAX_T;1;0.283;5;9.0;171506;13;22010	01120	01200	21020	01000	; ;
14;14;MCTS;2;0.297;8;5.0;53158;12;22010	01120	01200	21020	01010	; ;
14;15;MINIMAX_T;1;0.063;5;7.0;53582;11;22010	01120	21200	21020	01010	; ;
14;16;MCTS;2;0.078;4;7.0;5685;10;22010	11120	21200	21020	01010	; ;
14;17;MINIMAX_T;1;0.016;5;5.0;18730;9;22210	11120	21200	21020	01010	; ;
14;18;MCTS;2;0.031;5;4.0;3698;8;22210	11120	21200	21120	01010	; ;
14;19;MINIMAX_T;1;0.0;5;3.0;3620;7;22210	11120	21202	21120	01010	; ;
14;20;MCTS;2;0.016;6;1.0;1777;6;22210	11120	21202	21120	01110	; ;
14;21;MINIMAX_T;1;0.0;5;1.0;326;5;22210	11120	21202	21122	01110	; ;
14;22;MCTS;2;0.016;4;1.0;65;4;22210	11120	21202	21122	01111	; ;
14;23;MINIMAX_T;1;0.0;5;1.0;16;3;22210	11122	21202	21122	01111	; ;
14;24;MCTS;2;0.015;2;1.0;5;2;22211	11122	21202	21122	01111	; ;
14;25;MINIMAX_T;1;0.0;5;1.0;2;1;22211	11122	21222	21122	01111	;EMPATE;
15;1;MCTS;2;0.016;3;18.0;215;24;02000	00000	00000	00000	00000	; ;
15;2;MINIMAX_T;1;4.21;5;19.0;2629442;23;20000	00000	00000	00001	00000	; ;
15;3;MCTS;2;4.218;10;14.0;377609;22;22000	00000	00100	00000	00000	; ;
15;4;MINIMAX_T;1;5.68;5;18.0;3315929;22;22000	00000	00100	00000	00000	; ;
15;5;MCTS;2;5.682;10;12.0;404169;21;22010	00000	00100	00000	00000	; ;
15;6;MINIMAX_T;1;3.705;5;16.0;1974041;20;22010	00000	00100	02000	00000	; ;
15;7;MCTS;2;3.712;8;12.0;381320;19;22010	00000	00100	02100	00000	; ;
15;8;MINIMAX_T;1;1.684;5;14.0;981855;18;22010	02000	00100	02100	00000	; ;
15;9;MCTS;2;1.691;10;8.0;172269;17;22010	02000	01100	02100	00000	; ;
15;10;MINIMAX_T;1;0.845;5;12.0;562405;16;22010	02200	01100	02100	00000	; ;
15;11;MCTS;2;0.855;8;8.0;105495;15;22010	02200	01110	02100	00000	; ;
15;12;MINIMAX_T;1;0.313;5;10.0;192584;14;22010	22200	01110	02100	00000	;VITORIA;
16;1;MINIMAX_T;1;1.226;5;20.0;821955;24;01000	00000	00000	00000	00000	; ;
16;2;MCTS;2;1.232;11;14.0;82858;23;00000	00100	00000	00000	02000	; ;
16;3;MINIMAX_T;1;2.915;5;19.0;1979918;22;00000	00100	00200	00000	01000	; ;
16;4;MCTS;2;2.973;10;13.0;250653;21;00020	00100	01200	00000	00000	; ;
16;5;MINIMAX_T;1;2.502;5;17.0;1281801;20;00000	00110	01200	00020	00000	; ;
16;6;MCTS;2;2.514;10;12.0;220419;19;00000	01100	01220	00020	00000	; ;
16;7;MINIMAX_T;1;2.4;5;15.0;1462304;19;00000	01120	01200	00020	00000	; ;
16;8;MCTS;2;2.406;10;9.0;256603;18;00000	01120	01200	01020	00000	; ;
16;9;MINIMAX_T;1;1.493;5;13.0;796760;17;02000	01120	01200	01020	00000	; ;
16;10;MCTS;2;1.496;12;6.0;122692;16;02010	01120	01200	01020	00000	; ;
16;11;MINIMAX_T;1;0.564;5;11.0;395916;15;02010	01120	21200	01020	00000	; ;
16;12;MCTS;2;0.578;10;5.0;85334;14;02010	01120	21200	01020	01000	; ;
16;13;MINIMAX_T;1;0.192;5;9.0;171506;13;22010	01120	21200	01020	01000	; ;
16;14;MCTS;2;0.204;8;5.0;32832;12;22010	01120	21200	01020	01010	; ;
16;15;MINIMAX_T;1;0.093;5;7.0;53582;11;22010	01120	21200	21020	01010	; ;
16;16;MCTS;2;0.094;5;6.0;8028;10;22010	11120	21200	21020	01010	; ;
16;17;MINIMAX_T;1;0.016;5;5.0;18730;9;22010	11120	21200	21020	01012	; ;
16;18;MCTS;2;0.031;4;5.0;1073;8;22010	11120	21200	21120	01012	; ;
16;19;MINIMAX_T;1;0.0;5;3.0;3620;7;22010	11122	21200	21120	01012	; ;
16;20;MCTS;2;0.016;6;2.0;1403;6;22010	11122	21200	21121	01012	; ;
16;21;MINIMAX_T;1;0.0;5;1.0;326;5;22012	11122	21200	21121	01012	; ;
16;22;MCTS;2;0.015;4;1.0;65;4;22012	11122	21201	21121	01012	; ;
16;23;MINIMAX_T;1;0.0;5;1.0;16;3;22012	11122	21221	21121	01012	; ;
16;24;MCTS;2;0.016;2;1.0;5;2;22012	11122	21221	21121	01112	; ;
16;25;MINIMAX_T;1;0.0;5;1.0;2;1;22212	11122	21221	21121	01112	;EMPATE;
17;1;MCTS;2;0.016;4;19.0;512;24;02000	00000	00000	00000	00000	; ;
17;2;MINIMAX_T;1;0.814;5;19.0;659933;23;01000	00000	00200	00000	00000	; ;
17;3;MCTS;2;0.815;9;15.0;77916;22;00000	00100	00200	00000	20000	; ;
17;4;MINIMAX_T;1;5.539;5;18.0;3231138;22;00000	00100	00200	02000	00000	; ;
17;5;MCTS;2;5.549;10;13.0;421853;21;00000	00110	00200	02000	00000	; ;
17;6;MINIMAX_T;1;3.99;5;16.0;1960329;20;00000	02110	00200	02000	00000	; ;
17;7;MCTS;2;3.998;8;12.0;406513;19;00000	02110	01200	02000	00000	; ;
17;8;MINIMAX_T;1;2.088;5;14.0;980917;18;00000	02110	01200	02020	00000	; ;
17;9;MCTS;2;2.089;8;10.0;194306;17;10000	02110	01200	02020	00000	; ;
17;10;MINIMAX_T;1;0.908;5;12.0;502997;16;10000	02110	01200	22020	00000	; ;
17;11;MCTS;2;0.927;5;11.0;16233;15;10000	02110	01200	22120	00000	; ;
17;12;MINIMAX_T;1;0.704;5;10.0;266629;14;10020	02110	01200	22120	00000	; ;
17;13;MCTS;2;0.705;5;10.0;16744;13;10020	02110	01200	22120	00001	; ;
17;14;MINIMAX_T;1;0.335;5;8.0;108369;12;10022	02110	01200	22120	00001	; ;
17;15;MCTS;2;0.383;5;7.0;15223;11;10122	02110	01200	22120	00001	; ;
17;16;MINIMAX_T;1;0.078;5;6.0;36101;10;10122	22110	01200	22120	00001	; ;
17;17;MCTS;2;0.079;4;6.0;3559;9;10122	22110	01200	22120	10001	; ;
17;18;MINIMAX_T;1;0.032;5;4.0;8801;8;10122	22110	01200	22120	10201	; ;
17;19;MCTS;2;0.033;5;3.0;2427;7;10122	22110	01201	22120	10201	; ;
17;20;MINIMAX_T;1;0.003;5;2.0;1237;6;10122	22110	01221	22120	10201	; ;
17;21;MCTS;2;0.004;5;1.0;326;5;10122	22110	01221	22120	11201	; ;
17;22;MINIMAX_T;1;0.0;5;1.0;65;4;10122	22110	21221	22120	11201	; ;
17;23;MCTS;2;0.001;3;1.0;16;3;11122	22110	21221	22120	11201	; ;
17;24;MINIMAX_T;1;0.0;5;1.0;5;2;11122	22110	21221	22122	11201	; ;
17;25;MCTS;2;0.001;1;1.0;2;1;11122	22111	21221	22122	11201	;EMPATE;
18;1;MINIMAX_T;1;1.895;5;20.0;821955;24;01000	00000	00000	00000	00000	; ;
18;2;MCTS;2;1.896;12;13.0;138524;23;02000	00000	00100	00000	00000	; ;
18;3;MINIMAX_T;1;4.806;5;19.0;2091504;22;01000	02000	00100	00000	00000	; ;
18;4;MCTS;2;4.807;10;13.0;229054;22;00000	02000	00110	00000	00000	; ;
18;5;MINIMAX_T;1;6.341;5;17.0;2569510;21;00000	02000	02110	00000	00000	; ;
18;6;MCTS;2;6.342;10;11.0;386685;20;00000	02000	02110	01000	00000	; ;
18;7;MINIMAX_T;1;3.217;5;15.0;1486344;19;00000	02020	02110	01000	00000	; ;
18;8;MCTS;2;3.218;12;7.0;255384;18;00000	12020	02110	01000	00000	; ;
18;9;MINIMAX_T;1;1.347;5;13.0;804050;17;00200	12020	02110	01000	00000	; ;
18;10;MCTS;2;1.368;12;5.0;129150;16;00200	12020	02110	01100	00000	; ;
18;11;MINIMAX_T;1;0.718;5;11.0;396076;15;00200	12020	02110	21100	00000	; ;
18;12;MCTS;2;0.719;10;5.0;69135;14;00200	12120	02110	21100	00000	; ;
18;13;MINIMAX_T;1;0.293;5;9.0;171506;13;02200	12120	02110	21100	00000	; ;
18;14;MCTS;2;0.294;5;8.0;15533;12;02210	12120	02110	21100	00000	; ;
18;15;MINIMAX_T;1;0.108;5;7.0;64472;11;02212	12120	02110	21100	00000	; ;
18;16;MCTS;2;0.109;5;6.0;9201;10;02212	12120	02110	21100	00100	; ;
18;17;MINIMAX_T;1;0.026;5;5.0;18730;9;02212	12120	02110	21100	20100	; ;
18;18;MCTS;2;0.027;5;4.0;3224;8;02212	12120	02110	21100	21100	; ;
18;19;MINIMAX_T;1;0.007;5;3.0;3620;7;02212	12120	02112	21100	21100	; ;
18;20;MCTS;2;0.008;6;1.0;1957;6;02212	12121	02112	21100	21100	; ;
18;21;MINIMAX_T;1;0.001;5;1.0;326;5;02212	12121	02112	21100	21120	; ;
18;22;MCTS;2;0.002;4;1.0;65;4;02212	12121	02112	21101	21120	; ;
18;23;MINIMAX_T;1;0.0;5;1.0;16;3;22212	12121	02112	21101	21120	; ;
18;24;MCTS;2;0.001;2;1.0;5;2;22212	12121	02112	21111	21120	; ;
18;25;MINIMAX_T;1;0.0;5;1.0;2;1;22212	12121	02112	21111	21122	;EMPATE;
19;1;MCTS;2;0.001;2;11.0;9;24;02000	00000	00000	00000	00000	; ;
19;2;MINIMAX_T;1;4.631;5;19.0;2629442;23;20000	00100	00000	00000	00000	; ;
19;3;MCTS;2;4.632;10;14.0;332679;22;20000	00020	00100	00000	00000	; ;
19;4;MINIMAX_T;1;6.758;5;18.0;3301837;22;20200	00000	00100	00000	00000	; ;
19;5;MCTS;2;6.759;8;14.0;358653;21;20200	00000	00100	00100	00000	; ;
19;6;MINIMAX_T;1;4.588;5;16.0;1791713;20;22200	00000	00100	00100	00000	; ;
19;7;MCTS;2;4.589;10;10.0;435015;19;22210	00000	00100	00100	00000	; ;
19;8;MINIMAX_T;1;2.28;5;14.0;1100101;18;22210	00000	00100	02100	00000	; ;
19;9;MCTS;2;2.281;10;8.0;216849;17;22210	00000	01100	02100	00000	; ;
19;10;MINIMAX_T;1;1.148;5;12.0;567089;16;22210	00000	21100	02100	00000	; ;
19;11;MCTS;2;1.149;8;8.0;71120;15;22210	00000	21110	02100	00000	; ;
19;12;MINIMAX_T;1;0.621;5;10.0;227875;14;22210	20000	21110	02100	00000	; ;
19;13;MCTS;2;0.623;10;4.0;56676;13;22210	20000	21110	12100	00000	; ;
19;14;MINIMAX_T;1;0.183;5;8.0;102089;12;22210	20020	21110	12100	00000	; ;
19;15;MCTS;2;0.184;6;7.0;11995;10;22210	20120	21110	12102	00000	; ;
19;16;MINIMAX_T;1;0.031;5;6.0;17789;9;22210	20120	21111	12100	00002	; ;
19;17;MCTS;2;0.032;5;6.0;2598;9;22210	20120	21111	12100	00002	; ;
19;18;MINIMAX_T;1;0.013;5;4.0;8693;8;22212	20120	21111	12100	00002	; ;
19;19;MCTS;2;0.014;7;3.0;2274;7;22212	20120	21111	12100	00102	; ;
19;20;MINIMAX_T;1;0.002;5;2.0;1233;6;22212	20120	21111	12102	00102	; ;
19;21;MCTS;2;0.003;5;1.0;322;5;22212	20120	21111	12112	00102	; ;
19;22;MINIMAX_T;1;0.0;5;1.0;65;4;22212	22120	21111	12112	00102	; ;
19;23;MCTS;2;0.001;3;1.0;16;3;22212	22120	21111	12112	10102	; ;
19;24;MINIMAX_T;1;0.0;5;1.0;5;2;22212	22120	21111	12112	12102	; ;
19;25;MCTS;2;0.001;1;1.0;2;1;22212	22121	21111	12112	12102	;EMPATE;
20;1;MINIMAX_T;1;1.426;5;20.0;821955;24;01000	00000	00000	00000	00000	; ;
20;2;MCTS;2;1.434;11;14.0;109845;23;00000	00100	20000	00000	00000	; ;
20;3;MINIMAX_T;1;3.552;5;19.0;1979918;22;00000	00100	00200	10000	00000	; ;
20;4;MCTS;2;3.553;10;13.0;320187;21;00000	00120	01200	00000	00000	; ;
20;5;MINIMAX_T;1;2.502;5;17.0;1281801;20;20000	00100	01200	00001	00000	; ;
20;6;MCTS;2;2.528;10;12.0;239786;19;20000	01100	01220	00000	00000	; ;
20;7;MINIMAX_T;1;2.288;5;15.0;1471304;19;20000	01120	01200	00000	00000	; ;
20;8;MCTS;2;2.29;10;9.0;178830;18;20000	01120	01200	01000	00000	; ;
20;9;MINIMAX_T;1;1.316;5;13.0;798590;17;22000	01120	01200	01000	00000	; ;
20;10;MCTS;2;1.325;10;7.0;119529;16;22010	01120	01200	01000	00000	; ;
20;11;MINIMAX_T;1;0.58;5;11.0;392644;15;22010	01120	01200	21000	00000	; ;
20;12;MCTS;2;0.581;8;7.0;86611;14;22010	01120	01200	21000	01000	; ;
20;13;MINIMAX_T;1;0.156;5;9.0;148274;13;22010	21120	01200	21000	01000	; ;
20;14;MCTS;2;0.204;4;9.0;4764;12;22010	21120	11200	21000	01000	; ;
20;15;MINIMAX_T;1;0.081;5;7.0;64472;11;22210	21120	11200	21000	01000	; ;
20;16;MCTS;2;0.096;4;7.0;5857;10;22210	21120	11200	21001	01000	; ;
20;17;MINIMAX_T;1;0.031;5;5.0;18730;9;22210	21120	11200	21021	01000	; ;
20;18;MCTS;2;0.047;5;4.0;3150;8;22210	21121	11200	21021	01000	; ;
20;19;MINIMAX_T;1;0.0;5;3.0;3620;7;22210	21121	11200	21021	21000	; ;
20;20;MCTS;2;0.015;5;2.0;681;6;22210	21121	11201	21021	21000	; ;
20;21;MINIMAX_T;1;0.0;5;1.0;326;5;22210	21121	11221	21021	21000	; ;
20;22;MCTS;2;0.016;4;1.0;65;4;22210	21121	11221	21021	21010	; ;
20;23;MINIMAX_T;1;0.0;5;1.0;16;3;22210	21121	11221	21221	21010	; ;
20;24;MCTS;2;0.016;2;1.0;5;2;22210	21121	11221	21221	21011	; ;
20;25;MINIMAX_T;1;0.0;5;1.0;2;1;22210	21121	11221	21221	21211	;EMPATE;
21;1;MCTS;2;0.015;3;19.0;248;24;02000	00000	00000	00000	00000	; ;
21;2;MINIMAX_T;1;6.212;5;19.0;2629442;23;00000	02000	00001	00000	00000	; ;
21;3;MCTS;2;6.213;10;14.0;320043;22;00000	02000	00102	00000	00000	; ;
21;4;MINIMAX_T;1;3.631;5;18.0;1642807;21;00000	12020	00100	00000	00000	; ;
21;5;MCTS;2;3.634;11;11.0;263881;20;00000	22120	00100	00000	00000	; ;
21;6;MINIMAX_T;1;1.648;5;16.0;988175;19;01000	02120	00100	00200	00000	; ;
21;7;MCTS;2;1.649;9;11.0;137149;19;00000	02120	01100	00200	00000	; ;
21;8;MINIMAX_T;1;1.654;5;14.0;1092877;18;00000	02120	01120	00200	00000	; ;
21;9;MCTS;2;1.667;12;6.0;167185;17;00000	02120	01120	00210	00000	; ;
21;10;MINIMAX_T;1;0.765;5;12.0;569007;16;20000	02120	01120	00210	00000	; ;
21;11;MCTS;2;0.776;10;6.0;80539;15;20000	02121	01120	00210	00000	; ;
21;12;MINIMAX_T;1;0.411;5;10.0;263985;14;20000	02121	01120	20210	00000	; ;
21;13;MCTS;2;0.421;10;4.0;49431;13;20000	02121	11120	20210	00000	; ;
21;14;MINIMAX_T;1;0.126;5;8.0;106945;12;22000	02121	11120	20210	00000	; ;
21;15;MCTS;2;0.141;8;4.0;25399;11;22000	12121	11120	20210	00000	; ;
21;16;MINIMAX_T;1;0.062;5;6.0;29477;10;22200	12121	11120	20210	00000	; ;
21;17;MCTS;2;0.063;5;5.0;4570;9;22210	12121	11120	20210	00000	; ;
21;18;MINIMAX_T;1;0.014;5;4.0;8801;8;22210	12121	11120	22210	00000	; ;
21;19;MCTS;2;0.015;5;3.0;1981;7;22210	12121	11120	22211	00000	; ;
21;20;MINIMAX_T;1;0.002;5;2.0;1237;6;22210	12121	11122	22211	00000	; ;
21;21;MCTS;2;0.003;5;1.0;326;5;22210	12121	11122	22211	00100	; ;
21;22;MINIMAX_T;1;0.0;5;1.0;65;4;22212	12121	11122	22211	00100	; ;
21;23;MCTS;2;0.001;3;1.0;16;3;22212	12121	11122	22211	01100	; ;
21;24;MINIMAX_T;1;0.0;5;1.0;5;2;22212	12121	11122	22211	01120	; ;
21;25;MCTS;2;0.001;1;1.0;2;1;22212	12121	11122	22211	11120	;EMPATE;
22;1;MINIMAX_T;1;1.187;5;20.0;821955;24;01000	00000	00000	00000	00000	; ;
22;2;MCTS;2;1.202;12;15.0;80306;23;02000	00000	00100	00000	00000	; ;
22;3;MINIMAX_T;1;3.718;5;19.0;2091504;22;00000	02000	00101	00000	00000	; ;
22;4;MCTS;2;3.719;10;13.0;269350;22;00000	02010	00100	00000	00000	; ;
22;5;MINIMAX_T;1;4.664;5;17.0;2508788;21;00000	02010	00100	02000	00000	; ;
22;6;MCTS;2;4.671;10;11.0;374891;20;00000	02010	01100	02000	00000	; ;
22;7;MINIMAX_T;1;3.082;5;15.0;1475061;19;00000	02010	01100	22000	00000	; ;
22;8;MCTS;2;3.084;10;9.0;191705;18;00000	02010	01110	22000	00000	; ;
22;9;MINIMAX_T;1;1.633;5;13.0;785818;17;00000	02010	21110	22000	00000	; ;
22;10;MCTS;2;1.634;8;9.0;106551;16;00000	02010	21110	22100	00000	; ;
22;11;MINIMAX_T;1;0.891;5;11.0;339278;15;20000	02010	21110	22100	00000	; ;
22;12;MCTS;2;0.892;10;5.0;75136;14;20000	12010	21110	22100	00000	; ;
22;13;MINIMAX_T;1;0.617;5;9.0;169306;13;20020	12010	21110	22100	00000	; ;
22;14;MCTS;2;0.622;8;5.0;55311;12;20020	12110	21110	22100	00000	; ;
22;15;MINIMAX_T;1;0.085;5;7.0;53582;11;20220	12110	21110	22100	00000	; ;
22;16;MCTS;2;0.086;4;7.0;5538;10;21220	12110	21110	22100	00000	; ;
22;17;MINIMAX_T;1;0.036;5;5.0;18730;9;21220	12110	21110	22100	00020	; ;
22;18;MCTS;2;0.049;3;6.0;299;8;21220	12110	21110	22101	00020	; ;
22;19;MINIMAX_T;1;0.005;5;3.0;3620;7;21220	12110	21110	22101	20020	; ;
22;20;MCTS;2;0.006;5;2.0;1135;6;21221	12110	21110	22101	20020	; ;
22;21;MINIMAX_T;1;0.001;5;1.0;326;5;21221	12110	21110	22121	20020	; ;
22;22;MCTS;2;0.002;4;1.0;65;4;21221	12111	21110	22121	20020	; ;
22;23;MINIMAX_T;1;0.0;5;1.0;16;3;21221	12111	21112	22121	20020	; ;
22;24;MCTS;2;0.001;2;1.0;5;2;21221	12111	21112	22121	21020	; ;
22;25;MINIMAX_T;1;0.0;5;1.0;2;1;21221	12111	21112	22121	21022	;EMPATE;
23;1;MCTS;2;0.001;1;3.0;7;24;02000	00000	00000	00000	00000	; ;
23;2;MINIMAX_T;1;4.534;5;19.0;2629442;23;00200	10000	00000	00000	00000	; ;
23;3;MCTS;2;4.561;10;14.0;388732;22;02200	00000	00000	00100	00000	; ;
23;4;MINIMAX_T;1;8.366;5;18.0;3312401;22;20200	00000	00000	00100	00000	; ;
23;5;MCTS;2;8.636;8;14.0;463834;21;20200	00000	00000	00110	00000	; ;
23;6;MINIMAX_T;1;3.433;5;16.0;1782431;20;22200	00000	00000	00110	00000	; ;
23;7;MCTS;2;3.442;10;10.0;251356;19;22210	00000	00000	00110	00000	; ;
23;8;MINIMAX_T;1;1.924;5;14.0;1092957;18;22210	00000	00000	02110	00000	; ;
23;9;MCTS;2;1.94;10;8.0;183681;17;22210	00000	00010	02110	00000	; ;
23;10;MINIMAX_T;1;0.887;5;12.0;562661;16;22210	00020	00010	02110	00000	; ;
23;11;MCTS;2;0.901;8;8.0;124142;15;22210	00020	00110	02110	00000	; ;
23;12;MINIMAX_T;1;0.346;5;10.0;230453;14;22210	00020	02110	02110	00000	; ;
23;13;MCTS;2;0.361;10;4.0;50845;13;22210	01020	02110	02110	00000	; ;
23;14;MINIMAX_T;1;0.157;5;8.0;106929;12;22210	01020	22110	02110	00000	; ;
23;15;MCTS;2;0.173;8;4.0;26258;11;22210	01020	22110	02110	01000	; ;
23;16;MINIMAX_T;1;0.031;5;6.0;29477;10;22210	01020	22110	22110	01000	; ;
23;17;MCTS;2;0.047;5;5.0;4376;9;22210	11020	22110	22110	01000	; ;
23;18;MINIMAX_T;1;0.0;5;4.0;8801;8;22210	11020	22110	22110	01020	; ;
23;19;MCTS;2;0.071;4;4.0;281;7;22210	11021	22110	22110	01020	; ;
23;20;MINIMAX_T;1;0.0;5;2.0;1237;6;22210	11021	22110	22110	01220	; ;
23;21;MCTS;2;0.016;5;1.0;326;5;22210	11021	22110	22110	01221	; ;
23;22;MINIMAX_T;1;0.0;5;1.0;65;4;22210	11021	22110	22112	01221	; ;
23;23;MCTS;2;0.015;3;1.0;16;3;22211	11021	22110	22112	01221	; ;
23;24;MINIMAX_T;1;0.0;5;1.0;5;2;22211	11021	22112	22112	01221	; ;
23;25;MCTS;2;0.016;1;1.0;2;1;22211	11121	22112	22112	01221	;EMPATE;
24;1;MINIMAX_T;1;1.263;5;20.0;821955;24;01000	00000	00000	00000	00000	; ;
24;2;MCTS;2;1.274;11;15.0;64152;23;02000	00000	00100	00000	00000	; ;
24;3;MINIMAX_T;1;3.276;5;19.0;2091504;22;01000	02000	00100	00000	00000	; ;
24;4;MCTS;2;3.29;10;13.0;289180;22;00000	02000	00110	00000	00000	; ;
24;5;MINIMAX_T;1;4.594;5;17.0;2569510;21;00000	02000	02110	00000	00000	; ;
24;6;MCTS;2;4.595;10;11.0;369313;20;00000	02000	02110	01000	00000	; ;
24;7;MINIMAX_T;1;2.865;5;15.0;1486344;19;00000	02020	02110	01000	00000	; ;
