PARTIDA;TURNO;NOME_AGENTE;COR_PECA;PLY_TIME;MAX DEPTH; BFACTOR; TOTAL_NODES;MAX BRANCH;MAX BOARD;RESULTADO;
2;8;MCTS;2;1.632;10;10.0;193738;18;00000	01120	01200	01020	00000	; ;
2;9;MINIMAX_T;1;0.831;5;13.0;796760;17;02000	01120	01200	01020	00000	; ;
2;10;MCTS;2;0.844;12;6.0;80395;16;02010	01120	01200	01020	00000	; ;
2;11;MINIMAX_T;1;0.421;5;11.0;395916;15;02010	01120	21200	01020	00000	; ;
2;12;MCTS;2;0.432;10;5.0;95891;14;02010	01120	21200	01020	01000	; ;
2;13;MINIMAX_T;1;0.144;5;9.0;171506;13;22010	01120	21200	01020	01000	; ;
2;14;MCTS;2;0.159;8;5.0;27774;12;22010	01120	21200	01020	01010	; ;
2;15;MINIMAX_T;1;0.049;5;7.0;53582;11;22010	21120	21200	01020	01010	; ;
2;16;MCTS;2;0.05;5;6.0;6326;10;22010	21120	21200	11020	01010	; ;
2;17;MINIMAX_T;1;0.016;5;5.0;18730;9;22010	21120	21200	11220	01010	; ;
2;18;MCTS;2;0.017;5;4.0;3266;8;22010	21120	21200	11220	01110	; ;
2;19;MINIMAX_T;1;0.003;5;3.0;3620;7;22010	21120	21220	11220	01110	; ;
2;20;MCTS;2;0.004;5;2.0;1163;6;22010	21120	21220	11220	11110	; ;
2;21;MINIMAX_T;1;0.001;5;1.0;326;5;22010	21122	21220	11220	11110	; ;
2;22;MCTS;2;0.002;4;1.0;65;4;22010	21122	21220	11220	11111	; ;
2;23;MINIMAX_T;1;0.0;5;1.0;16;3;22010	21122	21222	11220	11111	; ;
2;24;MCTS;2;0.001;2;1.0;5;2;22010	21122	21222	11221	11111	; ;
2;25;MINIMAX_T;1;0.0;5;1.0;2;1;22012	21122	21222	11221	11111	;EMPATE;
3;1;MCTS;2;0.001;2;11.0;25;24;02000	00000	00000	00000	00000	; ;
3;2;MINIMAX_T;1;3.015;5;19.0;2629442;23;00100	02000	00000	00000	00000	; ;
3;3;MCTS;2;3.068;10;14.0;275031;22;00000	02000	00120	00000	00000	; ;
3;4;MINIMAX_T;1;2.09;5;18.0;1642807;21;00000	02020	00100	00000	10000	; ;
3;5;MCTS;2;2.095;11;11.0;187878;20;00000	22120	00100	00000	00000	; ;
3;6;MINIMAX_T;1;1.389;5;16.0;988175;19;01000	02120	00100	00200	00000	; ;
3;7;MCTS;2;1.39;9;11.0;190812;19;00000	02120	01100	00200	00000	; ;
3;8;MINIMAX_T;1;1.287;5;14.0;1092877;18;00000	02120	01120	00200	00000	; ;
3;9;MCTS;2;1.288;12;6.0;153867;17;00000	02120	01120	00210	00000	; ;
3;10;MINIMAX_T;1;0.589;5;12.0;569007;16;20000	02120	01120	00210	00000	; ;
3;11;MCTS;2;0.59;10;6.0;83783;15;20000	02121	01120	00210	00000	; ;
3;12;MINIMAX_T;1;0.223;5;10.0;263985;14;20000	02121	21120	00210	00000	; ;
3;13;MCTS;2;0.224;7;7.0;24974;13;20010	02121	21120	00210	00000	; ;
3;14;MINIMAX_T;1;0.085;5;8.0;91445;12;20010	22121	21120	00210	00000	; ;
3;15;MCTS;2;0.086;4;8.0;5599;11;20010	22121	21120	10210	00000	; ;
3;16;MINIMAX_T;1;0.043;5;6.0;36089;10;20010	22121	21120	12210	00000	; ;
3;17;MCTS;2;0.044;5;5.0;6514;9;20011	22121	21120	12210	00000	; ;
3;18;MINIMAX_T;1;0.008;5;4.0;8793;8;20011	22121	21120	12210	00002	; ;
3;19;MCTS;2;0.009;5;3.0;2093;7;20011	22121	21120	12210	00102	; ;
3;20;MINIMAX_T;1;0.001;5;2.0;1237;6;20011	22121	21120	12212	00102	; ;
3;21;MCTS;2;0.002;5;1.0;326;5;20111	22121	21120	12212	00102	; ;
3;22;MINIMAX_T;1;0.0;5;1.0;65;4;20111	22121	21120	12212	00122	; ;
3;23;MCTS;2;0.001;3;1.0;16;3;21111	22121	21120	12212	00122	; ;
3;24;MINIMAX_T;1;0.0;5;1.0;5;2;21111	22121	21122	12212	00122	; ;
3;25;MCTS;2;0.001;1;1.0;2;1;21111	22121	21122	12212	01122	;EMPATE;
4;1;MINIMAX_T;1;0.837;5;20.0;821955;24;01000	00000	00000	00000	00000	; ;
4;2;MCTS;2;0.851;11;16.0;47192;23;02000	00000	00100	00000	00000	; ;
4;3;MINIMAX_T;1;2.492;5;19.0;2091504;22;00100	02000	00100	00000	00000	; ;
4;4;MCTS;2;2.526;10;13.0;205713;22;00000	02000	00110	00000	00000	; ;
4;5;MINIMAX_T;1;4.226;5;17.0;2569510;21;00000	02000	02110	00000	00000	; ;
4;6;MCTS;2;4.245;10;11.0;398677;20;00000	02000	02110	01000	00000	; ;
4;7;MINIMAX_T;1;2.498;5;15.0;1486344;19;00000	02020	02110	01000	00000	; ;
4;8;MCTS;2;2.499;12;7.0;247582;18;00000	12020	02110	01000	00000	; ;
4;9;MINIMAX_T;1;0.737;5;13.0;804050;17;00200	12020	02110	01000	00000	; ;
4;10;MCTS;2;0.98;10;7.0;107249;16;00200	12020	02110	01100	00000	; ;
4;11;MINIMAX_T;1;0.479;5;11.0;388944;15;20200	12020	02110	01100	00000	; ;
4;12;MCTS;2;0.49;5;10.0;12765;14;20210	12020	02110	01100	00000	; ;
4;13;MINIMAX_T;1;0.229;5;9.0;173486;13;20210	12020	02110	21100	00000	; ;
4;14;MCTS;2;0.233;5;8.0;15826;12;20210	12020	02110	21101	00000	; ;
4;15;MINIMAX_T;1;0.063;5;7.0;64472;11;20210	12020	02110	21101	00200	; ;
4;16;MCTS;2;0.064;4;7.0;4198;10;20210	12021	02110	21101	00200	; ;
4;17;MINIMAX_T;1;0.03;5;5.0;18730;9;20210	12021	22110	21101	00200	; ;
4;18;MCTS;2;0.031;5;4.0;4370;8;20210	12021	22110	21111	00200	; ;
4;19;MINIMAX_T;1;0.004;5;3.0;3620;7;20212	12021	22110	21111	00200	; ;
4;20;MCTS;2;0.005;6;1.0;1590;6;20212	12021	22110	21111	01200	; ;
4;21;MINIMAX_T;1;0.001;5;1.0;326;5;20212	12021	22110	21111	01220	; ;
4;22;MCTS;2;0.002;4;1.0;65;4;21212	12021	22110	21111	01220	; ;
4;23;MINIMAX_T;1;0.0;5;1.0;16;3;21212	12021	22110	21111	21220	; ;
4;24;MCTS;2;0.001;2;1.0;5;2;21212	12121	22110	21111	21220	; ;
4;25;MINIMAX_T;1;0.0;5;1.0;2;1;21212	12121	22112	21111	21220	;EMPATE;
5;1;MCTS;2;0.001;2;10.0;14;24;02000	00000	00000	00000	00000	; ;
5;2;MINIMAX_T;1;0.744;5;19.0;659933;23;01000	00000	00200	00000	00000	; ;
5;3;MCTS;2;0.746;9;15.0;58961;22;00000	00100	20200	00000	00000	; ;
5;4;MINIMAX_T;1;5.244;5;18.0;3230994;22;20000	00100	00200	00000	00000	; ;
5;5;MCTS;2;5.249;8;14.0;492451;20;20000	00120	01200	00000	00000	; ;
5;6;MINIMAX_T;1;1.852;5;16.0;893441;19;20000	00101	01200	00020	00000	; ;
5;7;MCTS;2;1.853;9;11.0;170970;18;20002	01100	01200	00020	00000	; ;
5;8;MINIMAX_T;1;1.25;5;14.0;1082385;18;20000	01120	01200	00020	00000	; ;
5;9;MCTS;2;1.275;9;9.0;81011;17;20000	01120	01200	01020	00000	; ;
5;10;MINIMAX_T;1;0.956;5;12.0;562661;16;22000	01120	01200	01020	00000	; ;
5;11;MCTS;2;0.97;10;6.0;117523;15;22010	01120	01200	01020	00000	; ;
5;12;MINIMAX_T;1;0.33;5;10.0;264005;14;22010	01120	01200	21020	00000	; ;
5;13;MCTS;2;0.345;7;7.0;46081;13;22010	01120	01200	21020	01000	; ;
5;14;MINIMAX_T;1;0.094;5;8.0;91445;12;22010	21120	01200	21020	01000	; ;
5;15;MCTS;2;0.105;4;8.0;6666;11;22010	21120	11200	21020	01000	; ;
5;16;MINIMAX_T;1;0.034;5;6.0;36101;10;22010	21120	11200	21020	01020	; ;
5;17;MCTS;2;0.036;5;5.0;5278;9;22010	21120	11210	21020	01020	; ;
5;18;MINIMAX_T;1;0.001;5;4.0;8801;8;22010	21120	11210	21020	01022	; ;
5;19;MCTS;2;0.009;3;5.0;152;7;22110	21120	11210	21020	01022	; ;
5;20;MINIMAX_T;1;0.002;5;2.0;1237;6;22110	21122	11210	21020	01022	; ;
5;21;MCTS;2;0.003;5;1.0;326;5;22110	21122	11210	21020	11022	; ;
5;22;MINIMAX_T;1;0.0;5;1.0;65;4;22110	21122	11210	21220	11022	; ;
5;23;MCTS;2;0.001;3;1.0;16;3;22110	21122	11211	21220	11022	; ;
5;24;MINIMAX_T;1;0.0;5;1.0;5;2;22110	21122	11211	21220	11222	; ;
5;25;MCTS;2;0.001;1;1.0;2;1;22111	21122	11211	21220	11222	;EMPATE;
6;1;MINIMAX_T;1;0.803;5;20.0;821955;24;01000	00000	00000	00000	00000	; ;
